Column1,Column2
1,fuck
2,shit
3,asshole
4,cunt
5,bitch
6,bastard
7,goddamn
8,twat
9,fag
10,cock
11,dick
12,suck
13,vagina
79,pussy
15,piss
16,puss
17,wuss
18,penis
19,prick
20,sucks
21,jerk
22,flamer
23,queer
24,dirty sanchez
25,brown eye
26,suckass
27,bollocks
28,balls
29,wanker
30,arsehole
31,tosser
32,poop
33,shat
34,rim job
35,moe
36,whore
37,testicle
38,hooker
39,pimp
40,tramp
41,skank
42,slut
43,cum
44,crap
45,masturbate
46,sex
47,fornicate
48,screw
49,hump
50,hummer
51,blow
100,anal
53,fart
54,fudge packer
55,jit
56,philacio
57,masterbator
58,masterbation
59,fornicator
60,fornication
61,whores
62,whoring
63,cumbag
64,cumstain
65,pecker
66,asshead
67,assclown
68,assface
69,assmunch
78,dildo
71,butthead
72,buthead
73,assmonkey
74,sissy
75,fudgepacker
76,assbag
80,tits
81,milkbags
82,vajayjay
83,queef
84,smegma
85,hooch
86,hoochie
87,koochie
88,kooch
89,cooch
90,cunny
91,poofter
92,faggot
93,public domain
94,[x]
95,gay
96,scrotum
97,horny
98,boobies
99,shitty
101,Brian
102,brian
103,Bryan
104,bryan
106,nigger
107,nigga
,
